kind	record_id	name	bytes	md5	url
meta	13143544	crab-giantpulse.sigmf-meta	2006	e0e46f218f54a283eaaf04cbddf050da	https://zenodo.org/api/records/13143544/files/crab-giantpulse.sigmf-meta/content
data	13143544	crab-giantpulse.sigmf-data	16000000	a7a72584861a34ca76cb0813f6115749	https://zenodo.org/api/records/13143544/files/crab-giantpulse.sigmf-data/content
