kind	record_id	name	bytes	md5	sha512	url
data	18202739	V16-beacon-NB-IoT-uplink-20251231.sigmf-data	438824272	2894a6a90a556bffd24dd70043298658	5fc28d94abe70f473cd68dbb20cdd011357fcaf5a0b1eb843c682d89e74d54f40d50901195d3c13385a15fada8221c030ac6185d47a8d74330d961c3e86fc2bd	https://zenodo.org/api/records/18202739/files/V16-beacon-NB-IoT-uplink-20251231.sigmf-data/content
meta	18202739	V16-beacon-NB-IoT-uplink-20251231.sigmf-meta	664	84603a9370cccca05b180b5c1c10e228	-	https://zenodo.org/api/records/18202739/files/V16-beacon-NB-IoT-uplink-20251231.sigmf-meta/content
data	19771729	V16-beacon-NB-IoT-downlink-20251231.sigmf-data	438824272	f1b0a3cc4484dd7418657a031404d422	6cc5bebad45854ea2e308ca510359962f018d4a7b5ee924411bffffb05a2a94a71d40bcea8070b42fee868e38447918d50487c5b015c08c66adaad707ed78a7b	https://zenodo.org/api/records/19771729/files/V16-beacon-NB-IoT-downlink-20251231.sigmf-data/content
meta	19771729	V16-beacon-NB-IoT-downlink-20251231.sigmf-meta	692	6a8d9cd52e68b79d323c06c88adc50f9	-	https://zenodo.org/api/records/19771729/files/V16-beacon-NB-IoT-downlink-20251231.sigmf-meta/content
