month	obs_id	filename	bytes	sha256	url
2017_06	0010050103	ni0010050103_0mpu7_cl.evt.gz	500775	8d0815897636226100d4e30eb0fba134b73e88071682d4a655b8e897feeb2a62	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0010050103/xti/event_cl/ni0010050103_0mpu7_cl.evt.gz
2017_06	0012070105	ni0012070105_0mpu7_cl.evt.gz	513231	6ea80f929750ca1e53d97063bcb8c0138f34b14f5a4adfce7ebd1d336c2c5712	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0012070105/xti/event_cl/ni0012070105_0mpu7_cl.evt.gz
2017_06	0012070106	ni0012070106_0mpu7_cl.evt.gz	588808	efaf757a97247d9fc7b875d37b40d74897f9ba2cf423be5a60a095f4b91cdbe3	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0012070106/xti/event_cl/ni0012070106_0mpu7_cl.evt.gz
2017_06	0030020102	ni0030020102_0mpu7_cl.evt.gz	1296508	d1df78ea8067f15973946fb857e90b13f220580bbaa58b7a71a62bffbf570e0d	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0030020102/xti/event_cl/ni0030020102_0mpu7_cl.evt.gz
2017_06	0020600104	ni0020600104_0mpu7_cl.evt.gz	1902778	6a59ba80ae166e38caa1b523a63a19d0a59bcab6a0b5876c468aa0ab0470992b	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0020600104/xti/event_cl/ni0020600104_0mpu7_cl.evt.gz
2017_06	0020600105	ni0020600105_0mpu7_cl.evt.gz	1993287	8d84d2a77bb9b837a5f99cfadf0d85a57c92de056fa24928923d5a6de3e7007e	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0020600105/xti/event_cl/ni0020600105_0mpu7_cl.evt.gz
2017_06	0030020101	ni0030020101_0mpu7_cl.evt.gz	2093401	e80c8dbc095bb17cb58d5bbc170fb050492f4ad5a7a5f3c9865ee758cf72de99	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0030020101/xti/event_cl/ni0030020101_0mpu7_cl.evt.gz
2017_06	0020550102	ni0020550102_0mpu7_cl.evt.gz	3285503	7f4b40b68e84c99636abb2267073d3c510c778b7f8df790f43968c862c548c63	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0020550102/xti/event_cl/ni0020550102_0mpu7_cl.evt.gz
2017_06	0010100101	ni0010100101_0mpu7_cl.evt.gz	6405374	ad28555f9bec490b546f395e6666143cde7189b0d35579e37208d07801b386b8	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0010100101/xti/event_cl/ni0010100101_0mpu7_cl.evt.gz
2017_06	0010100103	ni0010100103_0mpu7_cl.evt.gz	8682342	df4ac439839f3dd32f8660400daca944b7f5c42f1df3ab225250b204ebafcaf2	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0010100103/xti/event_cl/ni0010100103_0mpu7_cl.evt.gz
2017_06	0010100102	ni0010100102_0mpu7_cl.evt.gz	24209690	f05da77c55e1624ebefa2b32a0bdc811567bcbd59568f51d9a9eca903a00c8b0	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0010100102/xti/event_cl/ni0010100102_0mpu7_cl.evt.gz
2017_06	0011030101	ni0011030101_0mpu7_cl.evt.gz	26125710	9eaaca8eb656afdf85210800aee13a8b3f3d89ce9f9b27973d17b288d01ec312	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0011030101/xti/event_cl/ni0011030101_0mpu7_cl.evt.gz
2017_06	0010230104	ni0010230104_0mpu7_cl.evt.gz	30682597	1b8b3c4e9127eff25ff0f49729d32043b01d57a8db67ecc76dd719b10f6e2742	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0010230104/xti/event_cl/ni0010230104_0mpu7_cl.evt.gz
2017_06	0010080106	ni0010080106_0mpu7_cl.evt.gz	37599137	1d8e5d64dc8bb6dd052559caeda58f4bba5edd115a3c72a3941142c251d76664	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0010080106/xti/event_cl/ni0010080106_0mpu7_cl.evt.gz
2017_06	0010080107	ni0010080107_0mpu7_cl.evt.gz	56672606	7f585f98c577f9d7170a788a36f18cfca054ab943fca5567eb449bb2e386a491	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0010080107/xti/event_cl/ni0010080107_0mpu7_cl.evt.gz
