wmo	source_bytes	sha256	url
2903337	2230868	954b9d1e68e19ca0956e4cacb6b489c7bc5e38af7894c396e00948e58b58f96c	https://data-argo.ifremer.fr/dac/jma/2903337/2903337_prof.nc
7900121	1301172	ca95dea96c077ebc452a8358363a43bf13f447bbc7e3cc846669b483fca609ce	https://data-argo.ifremer.fr/dac/kiost/7900121/7900121_prof.nc
5906385	24131996	595f4621b1ac695b67dc7f78e48586237c88ae07743e50dd52f60c0450ac8bb9	https://data-argo.ifremer.fr/dac/jma/5906385/5906385_prof.nc
6901199	2210072	c41f9a364af5cf07572bb763f3ca72041fc07d8a990603458a6e6ddbddaf8578	https://data-argo.ifremer.fr/dac/bodc/6901199/6901199_prof.nc
2901348	1737112	d3e343053f8ea92e5358cad4d80f42f5bcb4c7a36ada42aff9a8d87e3ef52810	https://data-argo.ifremer.fr/dac/incois/2901348/2901348_prof.nc
3901506	1224048	3cf62aa9660a55c78fec9e6e2e2bed82643b8cb8737ccc44a898c46922e08777	https://data-argo.ifremer.fr/dac/bodc/3901506/3901506_prof.nc
1901168	12879752	3d96725043e6136f762fa5bb12fe05584babf46c4cf8f358e75e0a829f67d44c	https://data-argo.ifremer.fr/dac/csiro/1901168/1901168_prof.nc
2901343	1852712	9ed246c5806221be2b6196c5b497d0c06f41b1100c8e87d4b8d0cadf7cf34df9	https://data-argo.ifremer.fr/dac/incois/2901343/2901343_prof.nc
5905396	3377224	b93453914a451527553635d1f7c25f7de6ac64a0b7d61c825b550da4fd3f0bb2	https://data-argo.ifremer.fr/dac/csiro/5905396/5905396_prof.nc
5905554	1415884	4887a1962f267144837476090b8a945a7e5e2fd0dab54a540bfe3014327bd731	https://data-argo.ifremer.fr/dac/csiro/5905554/5905554_prof.nc
2902198	1682060	d1699ae0eb6354522475ceab443ef5beb36c57e6a16a32f16218238fe2552636	https://data-argo.ifremer.fr/dac/incois/2902198/2902198_prof.nc
4902577	4244564	19d2b08167ffb851692b30e4f4c4460f849b5030d575b142c3460854d2fdd204	https://data-argo.ifremer.fr/dac/meds/4902577/4902577_prof.nc
2902073	2260076	e4ba7cee9dbf904a0288fef026c416475f3d286de682856376a7c30ef3efd47e	https://data-argo.ifremer.fr/dac/incois/2902073/2902073_prof.nc
2901594	1734644	517fc6823c90fb60c703d5b7eead3638f8a07c0cd961d146f6b491ff76d7959c	https://data-argo.ifremer.fr/dac/csio/2901594/2901594_prof.nc
