dataset_id	status	reasons	series_id	role	numeric_kind	bit_width	samples	values_total	bytes_total	min_values	p10_values	p25_values	median_values	p75_values	p90_values	max_values	min_bytes	p10_bytes	p25_bytes	median_bytes	p75_bytes	p90_bytes	max_bytes	same_size_fraction	missing_files	first_sample_path
gbif_occurrence_2024_coordinate_sample	ok		gbif_class_key_u32	primary	uint	32	1	11994	47976	11994	11994	11994	11994	11994	11994	11994	47976	47976	47976	47976	47976	47976	47976	1.000000	0	samples/gbif_occurrence_2024_coordinate_sample/gbif_class_key_u32/gbif_class_key_u32_n00011994.bin
gbif_occurrence_2024_coordinate_sample	ok		gbif_decimal_latitude_f64	primary	float	64	1	11994	95952	11994	11994	11994	11994	11994	11994	11994	95952	95952	95952	95952	95952	95952	95952	1.000000	0	samples/gbif_occurrence_2024_coordinate_sample/gbif_decimal_latitude_f64/gbif_decimal_latitude_f64_n00011994.bin
gbif_occurrence_2024_coordinate_sample	ok		gbif_decimal_longitude_f64	primary	float	64	1	11994	95952	11994	11994	11994	11994	11994	11994	11994	95952	95952	95952	95952	95952	95952	95952	1.000000	0	samples/gbif_occurrence_2024_coordinate_sample/gbif_decimal_longitude_f64/gbif_decimal_longitude_f64_n00011994.bin
gbif_occurrence_2024_coordinate_sample	ok		gbif_kingdom_key_u32	primary	uint	32	1	11994	47976	11994	11994	11994	11994	11994	11994	11994	47976	47976	47976	47976	47976	47976	47976	1.000000	0	samples/gbif_occurrence_2024_coordinate_sample/gbif_kingdom_key_u32/gbif_kingdom_key_u32_n00011994.bin
gbif_occurrence_2024_coordinate_sample	ok		gbif_occurrence_key_u64	primary	uint	64	1	11994	95952	11994	11994	11994	11994	11994	11994	11994	95952	95952	95952	95952	95952	95952	95952	1.000000	0	samples/gbif_occurrence_2024_coordinate_sample/gbif_occurrence_key_u64/gbif_occurrence_key_u64_n00011994.bin
gbif_occurrence_2024_coordinate_sample	ok		gbif_order_key_u32	primary	uint	32	1	11994	47976	11994	11994	11994	11994	11994	11994	11994	47976	47976	47976	47976	47976	47976	47976	1.000000	0	samples/gbif_occurrence_2024_coordinate_sample/gbif_order_key_u32/gbif_order_key_u32_n00011994.bin
gbif_occurrence_2024_coordinate_sample	ok		gbif_phylum_key_u32	primary	uint	32	1	11994	47976	11994	11994	11994	11994	11994	11994	11994	47976	47976	47976	47976	47976	47976	47976	1.000000	0	samples/gbif_occurrence_2024_coordinate_sample/gbif_phylum_key_u32/gbif_phylum_key_u32_n00011994.bin
gbif_occurrence_2024_coordinate_sample	ok		gbif_taxon_key_u32	primary	uint	32	1	11994	47976	11994	11994	11994	11994	11994	11994	11994	47976	47976	47976	47976	47976	47976	47976	1.000000	0	samples/gbif_occurrence_2024_coordinate_sample/gbif_taxon_key_u32/gbif_taxon_key_u32_n00011994.bin
