dataset_id	status	reasons	series_id	role	numeric_kind	bit_width	samples	values_total	bytes_total	min_values	p10_values	p25_values	median_values	p75_values	p90_values	max_values	min_bytes	p10_bytes	p25_bytes	median_bytes	p75_bytes	p90_bytes	max_bytes	same_size_fraction	missing_files	first_sample_path
nomis_employment	ok		nomis_geography	primary	uint	32	1	18429	73716	18429	18429	18429	18429	18429	18429	18429	73716	73716	73716	73716	73716	73716	73716	1.000000	0	samples/nomis_employment/nomis_geography/nomis_geography_n018429.bin
nomis_employment	ok		nomis_month	primary	uint	8	1	18429	18429	18429	18429	18429	18429	18429	18429	18429	18429	18429	18429	18429	18429	18429	18429	1.000000	0	samples/nomis_employment/nomis_month/nomis_month_n018429.bin
nomis_employment	ok		nomis_obs_value	primary	uint	32	1	18429	73716	18429	18429	18429	18429	18429	18429	18429	73716	73716	73716	73716	73716	73716	73716	1.000000	0	samples/nomis_employment/nomis_obs_value/nomis_obs_value_n018429.bin
nomis_employment	ok		nomis_sex	primary	uint	8	1	18429	18429	18429	18429	18429	18429	18429	18429	18429	18429	18429	18429	18429	18429	18429	18429	1.000000	0	samples/nomis_employment/nomis_sex/nomis_sex_n018429.bin
nomis_employment	ok		nomis_year	primary	uint	16	1	18429	36858	18429	18429	18429	18429	18429	18429	18429	36858	36858	36858	36858	36858	36858	36858	1.000000	0	samples/nomis_employment/nomis_year/nomis_year_n018429.bin
