dataset_id	status	reasons	series_id	role	numeric_kind	bit_width	samples	values_total	bytes_total	min_values	p10_values	p25_values	median_values	p75_values	p90_values	max_values	min_bytes	p10_bytes	p25_bytes	median_bytes	p75_bytes	p90_bytes	max_bytes	same_size_fraction	missing_files	first_sample_path
nvd_cves_recent	ok		nvd_cpe_match_count	primary	uint	16	1	40704	81408	40704	40704	40704	40704	40704	40704	40704	81408	81408	81408	81408	81408	81408	81408	1.000000	0	samples/nvd_cves_recent/nvd_cpe_match_count/nvd_cpe_match_count_uint16_n040704.bin
nvd_cves_recent	ok		nvd_cvss_base_score_x10	primary	uint	16	1	40704	81408	40704	40704	40704	40704	40704	40704	40704	81408	81408	81408	81408	81408	81408	81408	1.000000	0	samples/nvd_cves_recent/nvd_cvss_base_score_x10/nvd_cvss_base_score_x10_uint16_n040704.bin
nvd_cves_recent	ok		nvd_last_modified_at	primary	uint	32	1	40704	162816	40704	40704	40704	40704	40704	40704	40704	162816	162816	162816	162816	162816	162816	162816	1.000000	0	samples/nvd_cves_recent/nvd_last_modified_at/nvd_last_modified_at_uint32_n040704.bin
nvd_cves_recent	ok		nvd_primary_cwe_id	primary	uint	16	1	40704	81408	40704	40704	40704	40704	40704	40704	40704	81408	81408	81408	81408	81408	81408	81408	1.000000	0	samples/nvd_cves_recent/nvd_primary_cwe_id/nvd_primary_cwe_id_uint16_n040704.bin
nvd_cves_recent	ok		nvd_published_at	primary	uint	32	1	40704	162816	40704	40704	40704	40704	40704	40704	40704	162816	162816	162816	162816	162816	162816	162816	1.000000	0	samples/nvd_cves_recent/nvd_published_at/nvd_published_at_uint32_n040704.bin
nvd_cves_recent	ok		nvd_reference_count	primary	uint	16	1	40704	81408	40704	40704	40704	40704	40704	40704	40704	81408	81408	81408	81408	81408	81408	81408	1.000000	0	samples/nvd_cves_recent/nvd_reference_count/nvd_reference_count_uint16_n040704.bin
