dataset_id	status	reasons	series_id	role	numeric_kind	bit_width	samples	values_total	bytes_total	min_values	p10_values	p25_values	median_values	p75_values	p90_values	max_values	min_bytes	p10_bytes	p25_bytes	median_bytes	p75_bytes	p90_bytes	max_bytes	same_size_fraction	missing_files	first_sample_path
taginfo_keys_all	ok		taginfo_count_all	primary	uint	64	1	100000	800000	100000	100000	100000	100000	100000	100000	100000	800000	800000	800000	800000	800000	800000	800000	1.000000	0	samples/taginfo_keys_all/taginfo_count_all/taginfo_count_all_n100000.bin
taginfo_keys_all	ok		taginfo_count_nodes	primary	uint	64	1	100000	800000	100000	100000	100000	100000	100000	100000	100000	800000	800000	800000	800000	800000	800000	800000	1.000000	0	samples/taginfo_keys_all/taginfo_count_nodes/taginfo_count_nodes_n100000.bin
taginfo_keys_all	ok		taginfo_count_relations	primary	uint	64	1	100000	800000	100000	100000	100000	100000	100000	100000	100000	800000	800000	800000	800000	800000	800000	800000	1.000000	0	samples/taginfo_keys_all/taginfo_count_relations/taginfo_count_relations_n100000.bin
taginfo_keys_all	ok		taginfo_count_ways	primary	uint	64	1	100000	800000	100000	100000	100000	100000	100000	100000	100000	800000	800000	800000	800000	800000	800000	800000	1.000000	0	samples/taginfo_keys_all/taginfo_count_ways/taginfo_count_ways_n100000.bin
taginfo_keys_all	ok		taginfo_in_wiki	primary	uint	8	1	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	1.000000	0	samples/taginfo_keys_all/taginfo_in_wiki/taginfo_in_wiki_n100000.bin
taginfo_keys_all	ok		taginfo_projects	primary	uint	16	1	100000	200000	100000	100000	100000	100000	100000	100000	100000	200000	200000	200000	200000	200000	200000	200000	1.000000	0	samples/taginfo_keys_all/taginfo_projects/taginfo_projects_n100000.bin
taginfo_keys_all	ok		taginfo_users_all	primary	uint	64	1	100000	800000	100000	100000	100000	100000	100000	100000	100000	800000	800000	800000	800000	800000	800000	800000	1.000000	0	samples/taginfo_keys_all/taginfo_users_all/taginfo_users_all_n100000.bin
taginfo_keys_all	ok		taginfo_values_all	primary	uint	64	1	100000	800000	100000	100000	100000	100000	100000	100000	100000	800000	800000	800000	800000	800000	800000	800000	1.000000	0	samples/taginfo_keys_all/taginfo_values_all/taginfo_values_all_n100000.bin
