dataset_id	status	reasons	series_id	role	numeric_kind	bit_width	samples	values_total	bytes_total	min_values	p10_values	p25_values	median_values	p75_values	p90_values	max_values	min_bytes	p10_bytes	p25_bytes	median_bytes	p75_bytes	p90_bytes	max_bytes	same_size_fraction	missing_files	first_sample_path
geofabrik_liechtenstein_osm_pbf_u8	ok		osm_pbf_primitive_blocks	primary	uint	8	52	7809486	7809486	39195	87686.9	94500.5	102373.5	113444.8	400242.0	688184	39195	87686.9	94500.5	102373.5	113444.8	400242.0	688184	0.019231	0	samples/geofabrik_liechtenstein_osm_pbf_u8/osm_pbf_primitive_blocks/primitive_block_00000.bin
ncbi_refseq_viral_genomes_u8	ok		refseq_viral_genome_bases	primary	uint	8	19433	577707132	577707132	136	1707	2750	6864	39989	73739.4	2473870	136	1707	2750	6864	39989	73739.4	2473870	0.000772	0	samples/ncbi_refseq_viral_genomes_u8/refseq_viral_genome_bases/000001_NC_029549.1.bin
