dataset_id	status	primary_values	primary_sample_bytes	primary_sample_rows	median_primary_sample_value_count	median_primary_sample_size_bytes	auxiliary_values	auxiliary_sample_bytes	auxiliary_sample_rows	has_index	inferred_auxiliary_series	failure_reasons
silso_sunspot_activity_indices_f32	ok	230296	921184	6	38117.5	152470	0	0	0	1	none	none
statlog_landsat_satellite_u8	ok	231660	231660	8	28957.5	28957.5	0	0	0	1	none	none
ourairports_airports	ok	241771	1651444	3	85545	684360	0	0	0	1	none	none
nvd_cves_recent	ok	244224	651264	6	40704	81408	0	0	0	1	none	none
usgs_nwis_gage_height_daily	ok	262068	2096544	30	8843.5	70748	0	0	0	1	none	none
gwosc_event_strain_f32	ok	262144	1048576	2	131072	524288	0	0	0	1	none	none
noaa_ghcn_daily_wsfg_by_station	ok	266478	532956	33	8055	16110	0	0	0	1	none	none
nyc_311_descriptor_u16	ok	287186	574372	3	100000	200000	0	0	0	1	none	none
uniprot_protein_sizes	ok	294084	882252	74	2048	6834	0	0	0	1	none	none
jpl_close_approaches	ok	297934	2383472	7	42562	340496	0	0	0	1	none	none
gbif_datasets	ok	300000	1200000	3	100000	200000	0	0	0	1	none	none
nasa_power_daily_precip_temperature	ok	321420	2571360	20	16071	128568	0	0	0	1	none	none
noaa_coops_water_temperature	ok	346842	2774736	2	173421	1387368	0	0	0	1	none	none
usgs_water_sites_rdb	ok	347330	2500776	5	69466	555728	69466	555728	1	1	none	none
who_gho_observations	ok	348104	1435929	8	43513	130539	0	0	0	1	none	none
hyg_star_photometry_i16	ok	356987	713974	3	119626	239252	0	0	0	1	none	none
usgs_nwis_streamflow_daily	ok	362420	2899360	40	9132	73056	0	0	0	1	none	none
chesscom_blitz_games	ok	368189	736378	83	3480	6960	0	0	0	1	none	none
eurostat_unemployment_monthly	ok	374109	1496436	1	374109	1496436	1870545	4489308	5	1	none	none
ghcnd_stations	ok	397497	1589988	3	132499	529996	0	0	0	1	none	none
nasa_fits_sample_image_planes	ok	422144	2737152	2	211072	1368576	0	0	0	1	none	none
nasa_power_daily_wind	ok	449280	3594240	30	14976	119808	0	0	0	1	none	none
openalex_works_2024_sample	ok	460000	1160000	23	20000	40000	0	0	0	1	none	none
sec_submissions_largecap_bundle	ok	483235	1739646	245	1001	4000	0	0	0	1	none	none
appliances_energy_uci	ok	513110	4104880	26	19735	157880	39470	315760	2	1	none	none
noaa_coops_air_temperature	ok	525155	4201240	3	175044	1400352	0	0	0	1	none	none
noaa_coops_air_pressure	ok	525156	4201248	3	175047	1400376	0	0	0	1	none	none
