selection_ordinal	filename	url	x_offset	y_offset	source_x_size	source_y_size	source_data_type	decoded_bytes	source_bytes	sha256
221	tileSG-023-074_4-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-023-074/tileSG-023-074_4-4.tif	134199	41791	450	450	Int16	405000	406513	0dc340e091479b69d0901e9f200101d0ef65c0468aecd1d7e88f6164de6eb2d1
222	tileSG-023-077_4-3.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-023-077/tileSG-023-077_4-3.tif	139149	41791	450	450	Int16	405000	406513	96e7ec1c7cf258bb173467ed71e767869b3b5b06c3f3ed24a1fa1af4e496a69f
223	tileSG-024-055_1-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-024-055/tileSG-024-055_1-4.tif	99999	42241	450	450	Int16	405000	406513	94b0df3e2e83aed2e0529f590181e14f072a6f3b7af4ed7d8c326afde9720faa
224	tileSG-024-029_2-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-024-029/tileSG-024-029_2-4.tif	53199	42691	450	450	Int16	405000	406513	d758c5a00a6c268547d48e01feb3ef96e5ce217a5f3cf8a3e21c1e082a0262bc
225	tileSG-024-033_3-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-024-033/tileSG-024-033_3-4.tif	60399	43141	450	450	Int16	405000	406513	f421fa10b8842e6eb93b340ba116b4442731efdcebe118c028b54701d4fef684
226	tileSG-024-048_3-3.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-024-048/tileSG-024-048_3-3.tif	86949	43141	450	450	Int16	405000	406513	731f444cebb53d2e85f4709f1c5eb0f180ab782813e943d8ddc3f0e5eb1ea49a
227	tileSG-024-073_3-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-024-073/tileSG-024-073_3-2.tif	131499	43141	450	450	Int16	405000	406513	9966b874a18c1633453efb0cf0e53951c054a72fb9b7a9a1060766b585387c31
228	tileSG-024-051_4-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-024-051/tileSG-024-051_4-2.tif	91899	43591	450	450	Int16	405000	406513	1fdc5267b947141935fecb601791b3e3fb5f1ca5c9c3f8e7beba588a57281d04
229	tileSG-024-077_4-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-024-077/tileSG-024-077_4-1.tif	138249	43591	450	450	Int16	405000	406509	d6b7d0082d985f253e9d722a0434b2fdf644ff649ace64de6c5fce66cabf32b5
230	tileSG-024-081_4-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-024-081/tileSG-024-081_4-1.tif	145449	43591	450	450	Int16	405000	406513	cc9e7beb55bc4c3314a43a937a0f288d494052efd94eca2a8002720a1898219d
231	tileSG-025-055_1-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-025-055/tileSG-025-055_1-1.tif	98649	44041	450	450	Int16	405000	406513	e435d8a8546193b733d6223af3ab46ef42c0ac932fe74ebbd79645ec199ce699
232	tileSG-025-031_2-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-025-031/tileSG-025-031_2-1.tif	55449	44491	450	450	Int16	405000	406513	a5ecd78b77b03f21e5ad537c2ea741b21bd6d8091546aa7fddbea22e598e0092
233	tileSG-025-028_3-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-025-028/tileSG-025-028_3-1.tif	50049	44941	450	450	Int16	405000	406513	2c63815f8038edccb215c45d1308b875e2448943ed0454ff613a68698d1be46e
